Name,Current price,Change(%),Open,High,Low,Volume
RELIANCE GLOBAL GROUP INC.,0.3911,76.17,0.6489,1.06,0.3911,394848471
NLS PHARMACEUTICS,0.2701,82.13,0.3769,0.459,0.2304,305495715
NVIDIA CORP.,135.58,3.51,131.14,136.33,130.69,294335054
MUSTANG BIO INC.,0.8501,13.35,0.97,1.3,0.741,291949261
CROWN ELECTROKINETICS,0.0572,113.46,0.0625,0.0636,0.0525,92392117
COMTECH TELECOM,4.07,87.56,3.06,4.38,2.92,91425417
APPLE INC.,214.29,11.1,217.59,218.63,213.0,79943254
SONOMA PHARMACEUTICALS INC.,0.192,13.95,0.2689,0.2998,0.186,79489222
TESLA INC.,184.86,11.38,186.56,187.2,182.37,68982265
SIRIUS XM HOLDINGS INC.,2.77,4.53,2.66,2.77,2.65,64476828
ENDRA LIFE SCIENCES INC.,0.1299,16.55,0.1364,0.1549,0.1247,60679931
NIKOLA CORP.,0.4809,12.08,0.491,0.492,0.4735,55206923
FUELCELL ENERGY INC.,0.7726,13.5,0.783,0.7959,0.75,52959666
LA ROSA HOLDINGS,1.79,72.12,1.04,2.92,1.01,52898154
ADVANCED MICRO DEVICES INC.,154.63,12.38,156.99,157.24,153.34,51852033
ACTELIS NETWORKS INC.,2.12,84.35,2.42,2.51,1.8,51371446
PRESTO AUTOMATION INC.,0.0736,15.15,0.072,0.0835,0.0706,46177906
FARADAY FUTURE INTELLIGENT ELECTRIC,0.4735,17.57,0.496,0.5105,0.465,42902830
MICRON TECHNOLOGY INC.,153.45,3.8,151.74,157.54,151.51,42192569
AMAZON.COM INC.,182.81,10.68,183.74,184.29,181.43,36659157
MARATHON DIGITAL HLD.,20.28,1.3,19.48,20.39,19.15,36053159
GEOVAX LABS INC.,1.9,71.17,1.36,2.36,1.09,35646599
VAXART INC.,0.6836,30.16,0.5525,0.7179,0.54,34749080
BITFARMS LTD.,3.15,0.32,3.02,3.23,3.01,33581948
INTEL CORP.,30.63,11.13,30.99,31.47,30.5,33294749
CLEANSPARK INC.,19.48,1.25,18.69,19.62,18.37,31089215
MICROCLOUD HOLOGRAM INC.,0.9445,119.96,1.13,1.17,0.92,30409858
GRAB HOLDINGS LTD.,3.53,11.67,3.59,3.62,3.51,29781149
SMX (SECURITY MATTERS) PUBLIC,0.119,19.0,0.097,0.12,0.097,28477835
SOFI TECHNOLOGIES INC.,6.42,10.62,6.46,6.6,6.39,28420218
QUALIGEN THERAPEUTICS INC.,0.187,6.98,0.2062,0.2365,0.172,28003549
MICROALGO INC.,4.08,14.93,5.05,5.21,2.78,27916853
NAUTICUS ROBOTICS INC.,0.1469,121.53,0.17,0.1728,0.1468,26590611
TERAWULF INC.,4.51,2.73,4.33,4.52,4.1,25960992
KINTARA THERAPEUTICS INC.,0.216,20.67,0.1974,0.227,0.195,25202443
AGRIFORCE GROWING SYSTEMS,0.0894,0.11,0.089,0.0899,0.0805,24993784
SILK ROAD MEDICAL INC.,26.88,24.04,26.78,26.97,26.76,24912037
WARNER BROS. DISCOVERY,6.99,12.37,7.14,7.27,6.96,24310331
CYNGN INC.,0.0794,18.1,0.082,0.0827,0.0763,23188325
POLESTAR AUTOMOTIVE HOLDING UK,0.6903,118.1,0.8398,0.8429,0.6875,22678266
COMCAST CORP.,36.9,11.1,37.34,37.79,36.75,22444935
ARM HOLDINGS PLC ADS,174.13,8.63,160.03,177.31,159.32,22339063
PLUG POWER INC.,2.64,12.94,2.71,2.72,2.62,22252482
QUALCOMM INC.,227.09,2.19,226.82,230.63,226.0,22037468
ALPHABET INC. CLASS A,175.09,11.21,177.14,177.38,174.1,21869857
ZENTALIS PHARMACEUTICALS INC.,4.14,150.66,6.29,6.4,3.93,21581862
ONCONETIX INC.,0.1531,14.13,0.1945,0.2159,0.1516,20638958
HUNTINGTON BANCSHARES INC.,12.46,0.56,12.39,12.56,12.34,20529821
RIVIAN AUTOMOTIVE INC.,11.02,0.55,10.83,11.21,10.71,20047831
ROCKET LAB USA INC.,4.91,13.13,4.59,4.99,4.54,19721320
WALGREENS BOOTS ALLIANCE INC.,16.11,6.34,15.14,16.17,15.14,19148786
SOUNDHOUND AI INC.,4.09,14.66,4.21,4.24,4.05,19039566
AMERICAN AIRLINES GROUP INC.,11.28,11.4,11.41,11.5,11.27,18841481
AETHLON MEDICAL INC.,0.675,5.37,0.645,0.7989,0.645,18161915
